"nom_cabina","qualitat_aire","codi_dtes","zqa","codi_eoi","longitud","latitud","hora_o3","qualitat_o3","valor_o3","hora_no2","qualitat_no2","valor_no2","hora_pm10","qualitat_pm10","valor_pm10","generat","dateTime"
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"7h","Bona","50 µg/m³","7h","Bona","4 µg/m³","8h","Bona","10 µg/m³","15/01/2019 8:00",1547535902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"8h","Bona","36 µg/m³",NA,NA,NA,"15/01/2019 9:00",1547539501
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"8h","Bona","17 µg/m³","8h","Bona","33 µg/m³","8h","Bona","25 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"8h","Bona","4 µg/m³","8h","Bona","60 µg/m³","9h","Bona","25 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"8h","Bona","2 µg/m³","8h","Bona","41 µg/m³",NA,NA,NA,"15/01/2019 9:00",1547539501
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"8h","Bona","32 µg/m³","8h","Bona","21 µg/m³","9h","Bona","17 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"8h","Bona","17 µg/m³","8h","Bona","30 µg/m³","9h","Bona","15 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"8h","Bona","51 µg/m³","9h","Bona","32 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"8h","Bona","52 µg/m³","8h","Bona","4 µg/m³","9h","Bona","10 µg/m³","15/01/2019 9:00",1547539501
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","45 µg/m³",NA,NA,NA,"15/01/2019 10:00",1547543101
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"9h","Bona","8 µg/m³","9h","Bona","48 µg/m³","10h","Bona","25 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"9h","Bona","1 µg/m³","9h","Bona","72 µg/m³","10h","Bona","25 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"9h","Bona","2 µg/m³","9h","Bona","45 µg/m³",NA,NA,NA,"15/01/2019 10:00",1547543101
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"9h","Bona","17 µg/m³","9h","Bona","40 µg/m³","10h","Bona","17 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"9h","Bona","3 µg/m³","9h","Bona","56 µg/m³","10h","Bona","15 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"9h","Bona","58 µg/m³","10h","Bona","32 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"9h","Bona","54 µg/m³","9h","Bona","4 µg/m³","9h","Bona","10 µg/m³","15/01/2019 10:00",1547543101
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","45 µg/m³",NA,NA,NA,"15/01/2019 11:00",1547546701
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"10h","Bona","7 µg/m³","10h","Bona","56 µg/m³","10h","Bona","25 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"10h","Bona","7 µg/m³","10h","Bona","56 µg/m³","10h","Bona","25 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"10h","Bona","10 µg/m³","10h","Bona","46 µg/m³",NA,NA,NA,"15/01/2019 11:00",1547546701
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"10h","Bona","30 µg/m³","10h","Bona","23 µg/m³","10h","Bona","17 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"10h","Bona","15 µg/m³","10h","Bona","39 µg/m³","10h","Bona","16 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"10h","Bona","60 µg/m³","10h","Bona","32 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"10h","Bona","55 µg/m³","10h","Bona","4 µg/m³","10h","Bona","10 µg/m³","15/01/2019 11:00",1547546701
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"9h","Bona","45 µg/m³",NA,NA,NA,"15/01/2019 12:00",1547550302
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"11h","Bona","9 µg/m³","11h","Bona","52 µg/m³","11h","Bona","25 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"11h","Bona","14 µg/m³","11h","Bona","50 µg/m³","11h","Bona","25 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"11h","Bona","12 µg/m³","11h","Bona","49 µg/m³",NA,NA,NA,"15/01/2019 12:00",1547550302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"11h","Bona","33 µg/m³","11h","Bona","22 µg/m³","11h","Bona","17 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"11h","Bona","31 µg/m³","11h","Bona","18 µg/m³","12h","Bona","15 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"11h","Bona","51 µg/m³","12h","Bona","32 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"11h","Bona","47 µg/m³","11h","Bona","14 µg/m³","12h","Bona","10 µg/m³","15/01/2019 12:00",1547550302
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"11h","--","--",NA,NA,NA,"15/01/2019 13:00",1547553902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"12h","Bona","17 µg/m³","12h","Bona","44 µg/m³","13h","Bona","24 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"12h","Bona","23 µg/m³","12h","Bona","42 µg/m³","13h","Bona","25 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"12h","Bona","15 µg/m³","12h","Bona","50 µg/m³",NA,NA,NA,"15/01/2019 13:00",1547553902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"12h","Bona","38 µg/m³","12h","Bona","17 µg/m³","13h","Bona","17 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"12h","Bona","34 µg/m³","12h","Bona","16 µg/m³","13h","Bona","15 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"12h","Bona","57 µg/m³","13h","Bona","33 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"12h","Bona","53 µg/m³","12h","Bona","8 µg/m³","12h","Bona","10 µg/m³","15/01/2019 13:00",1547553902
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","--","--",NA,NA,NA,"15/01/2019 14:00",1547557501
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"13h","Bona","28 µg/m³","13h","Bona","31 µg/m³","14h","Bona","24 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"13h","Bona","22 µg/m³","13h","Bona","48 µg/m³","14h","Bona","24 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"13h","Bona","28 µg/m³","13h","Bona","27 µg/m³",NA,NA,NA,"15/01/2019 14:00",1547557501
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"13h","Bona","40 µg/m³","13h","Bona","18 µg/m³","14h","Bona","17 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"13h","Bona","35 µg/m³","13h","Bona","15 µg/m³","14h","Bona","15 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"13h","Bona","42 µg/m³","14h","Bona","33 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"13h","Bona","50 µg/m³","13h","Bona","12 µg/m³","14h","Bona","10 µg/m³","15/01/2019 14:00",1547557501
"Barcelona - Sants","--","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"12h","--","--",NA,NA,NA,"15/01/2019 15:00",1547561101
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"14h","Bona","18 µg/m³","14h","Bona","54 µg/m³","14h","Bona","24 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"14h","Bona","24 µg/m³","14h","Bona","45 µg/m³","14h","Bona","24 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"14h","Bona","21 µg/m³","14h","Bona","43 µg/m³",NA,NA,NA,"15/01/2019 15:00",1547561101
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"13h","Bona","40 µg/m³","13h","Bona","18 µg/m³","14h","Bona","17 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"14h","Bona","40 µg/m³","14h","Bona","16 µg/m³","15h","Bona","15 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"14h","Bona","40 µg/m³","15h","Bona","33 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"14h","Bona","60 µg/m³","14h","Bona","9 µg/m³","15h","Bona","10 µg/m³","15/01/2019 15:00",1547561101
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"15h","Bona","29 µg/m³",NA,NA,NA,"15/01/2019 16:00",1547564702
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"15h","Bona","21 µg/m³","15h","Bona","49 µg/m³","16h","Bona","24 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"15h","Bona","21 µg/m³","15h","Bona","50 µg/m³","16h","Bona","25 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"15h","Bona","26 µg/m³","15h","Bona","43 µg/m³",NA,NA,NA,"15/01/2019 16:00",1547564702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"14h","--","--","14h","--","--","16h","Bona","17 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"15h","Bona","28 µg/m³","15h","Bona","32 µg/m³","16h","Bona","15 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"15h","Bona","48 µg/m³","16h","Bona","33 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"15h","Bona","55 µg/m³","15h","Bona","11 µg/m³","15h","Bona","10 µg/m³","15/01/2019 16:00",1547564702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"16h","Bona","28 µg/m³",NA,NA,NA,"15/01/2019 17:00",1547568302
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"16h","Bona","21 µg/m³","16h","Bona","53 µg/m³","17h","Bona","25 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"16h","Bona","22 µg/m³","16h","Bona","49 µg/m³","17h","Bona","25 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"16h","Bona","20 µg/m³","16h","Bona","49 µg/m³",NA,NA,NA,"15/01/2019 17:00",1547568302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"15h","--","--","15h","--","--","17h","Bona","17 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"16h","Bona","32 µg/m³","16h","Bona","32 µg/m³","17h","Bona","15 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"16h","Bona","48 µg/m³","17h","Bona","33 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"16h","Bona","48 µg/m³","16h","Bona","20 µg/m³","17h","Bona","10 µg/m³","15/01/2019 17:00",1547568302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"17h","Bona","31 µg/m³",NA,NA,NA,"15/01/2019 18:00",1547571902
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"17h","Bona","13 µg/m³","17h","Bona","59 µg/m³","17h","Bona","25 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"17h","Bona","15 µg/m³","17h","Bona","56 µg/m³","17h","Bona","25 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"17h","Bona","20 µg/m³","17h","Bona","47 µg/m³",NA,NA,NA,"15/01/2019 18:00",1547571902
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"17h","Bona","32 µg/m³","17h","Bona","37 µg/m³","17h","Bona","18 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"17h","Bona","25 µg/m³","17h","Bona","36 µg/m³","17h","Bona","16 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"17h","Bona","58 µg/m³","17h","Bona","33 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"17h","Bona","36 µg/m³","17h","Bona","34 µg/m³","17h","Bona","10 µg/m³","15/01/2019 18:00",1547571902
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"18h","Bona","36 µg/m³",NA,NA,NA,"15/01/2019 19:00",1547575502
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"18h","Bona","12 µg/m³","18h","Bona","56 µg/m³","18h","Bona","25 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"18h","Bona","10 µg/m³","18h","Bona","66 µg/m³","18h","Bona","23 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"18h","Bona","13 µg/m³","18h","Bona","55 µg/m³",NA,NA,NA,"15/01/2019 19:00",1547575502
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"18h","Bona","14 µg/m³","18h","Bona","53 µg/m³","18h","Bona","18 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"18h","Bona","15 µg/m³","18h","Bona","51 µg/m³","18h","Bona","15 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"18h","Bona","64 µg/m³","18h","Bona","33 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"18h","Bona","34 µg/m³","18h","Bona","33 µg/m³","18h","Bona","11 µg/m³","15/01/2019 19:00",1547575502
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"19h","Bona","60 µg/m³",NA,NA,NA,"15/01/2019 20:00",1547579102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"19h","Bona","9 µg/m³","19h","Bona","66 µg/m³","19h","Bona","24 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"19h","Bona","8 µg/m³","19h","Bona","72 µg/m³","19h","Bona","22 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"19h","Bona","10 µg/m³","19h","Bona","66 µg/m³",NA,NA,NA,"15/01/2019 20:00",1547579102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"19h","Bona","4 µg/m³","19h","Bona","68 µg/m³","19h","Bona","18 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"19h","Bona","2 µg/m³","19h","Bona","78 µg/m³","19h","Bona","15 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"19h","Bona","75 µg/m³","19h","Bona","33 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"19h","Bona","50 µg/m³","19h","Bona","20 µg/m³","19h","Bona","11 µg/m³","15/01/2019 20:00",1547579102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"20h","Bona","78 µg/m³",NA,NA,NA,"15/01/2019 21:00",1547582702
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"20h","Bona","2 µg/m³","20h","Bona","77 µg/m³","20h","Bona","23 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"20h","Bona","1 µg/m³","20h","Bona","88 µg/m³","20h","Bona","22 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"20h","Bona","3 µg/m³","20h","Bona","77 µg/m³",NA,NA,NA,"15/01/2019 21:00",1547582702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"20h","Bona","3 µg/m³","20h","Bona","79 µg/m³","20h","Bona","18 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"20h","Bona","1 µg/m³","20h","Bona","82 µg/m³","20h","Bona","15 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"20h","Bona","83 µg/m³","20h","Bona","33 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"20h","Bona","46 µg/m³","20h","Bona","20 µg/m³","20h","Bona","11 µg/m³","15/01/2019 21:00",1547582702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"21h","Bona","71 µg/m³",NA,NA,NA,"15/01/2019 22:00",1547586302
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"21h","Bona","2 µg/m³","21h","Bona","72 µg/m³","21h","Bona","22 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"21h","Bona","1 µg/m³","21h","Bona","80 µg/m³","21h","Bona","22 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"21h","Bona","2 µg/m³","21h","Bona","67 µg/m³",NA,NA,NA,"15/01/2019 22:00",1547586302
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"21h","Bona","6 µg/m³","21h","Bona","70 µg/m³","21h","Bona","18 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"21h","Bona","1 µg/m³","21h","Bona","68 µg/m³","21h","Bona","15 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"21h","Bona","87 µg/m³","21h","Bona","33 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"21h","Bona","40 µg/m³","21h","Bona","23 µg/m³","21h","Bona","11 µg/m³","15/01/2019 22:00",1547586302
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"22h","Bona","74 µg/m³",NA,NA,NA,"15/01/2019 23:00",1547589901
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"22h","Bona","3 µg/m³","22h","Bona","83 µg/m³","22h","Bona","22 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"22h","Bona","1 µg/m³","22h","Bona","78 µg/m³","22h","Bona","21 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"22h","Bona","2 µg/m³","22h","Bona","60 µg/m³",NA,NA,NA,"15/01/2019 23:00",1547589901
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"22h","Bona","10 µg/m³","22h","Bona","60 µg/m³","22h","Bona","18 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"22h","Bona","1 µg/m³","22h","Bona","63 µg/m³","22h","Bona","15 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"22h","Bona","71 µg/m³","22h","Bona","33 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"22h","Bona","57 µg/m³","22h","Bona","17 µg/m³","22h","Bona","10 µg/m³","15/01/2019 23:00",1547589901
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"23h","Bona","74 µg/m³",NA,NA,NA,"16/01/2019 0:00",1547593501
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,NA,NA,NA,NA,NA,NA,"23h","Bona","22 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"23h","Bona","4 µg/m³","23h","Bona","71 µg/m³","23h","Bona","22 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"23h","Bona","2 µg/m³","23h","Bona","51 µg/m³",NA,NA,NA,"16/01/2019 0:00",1547593501
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"23h","Bona","25 µg/m³","23h","Bona","45 µg/m³","23h","Bona","17 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"23h","Bona","2 µg/m³","23h","Bona","68 µg/m³","23h","Bona","15 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"23h","Bona","70 µg/m³","23h","Bona","32 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","57 µg/m³","0h","Bona","16 µg/m³","0h","Bona","11 µg/m³","16/01/2019 0:00",1547593501
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"0h","Bona","68 µg/m³",NA,NA,NA,"16/01/2019 1:00",1547597102
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","Bona","3 µg/m³","0h","Bona","83 µg/m³","0h","Bona","21 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"0h","Bona","3 µg/m³","0h","Bona","62 µg/m³","0h","Bona","22 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"0h","Bona","2 µg/m³","0h","Bona","46 µg/m³",NA,NA,NA,"16/01/2019 1:00",1547597102
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"0h","Bona","35 µg/m³","0h","Bona","25 µg/m³","0h","Bona","17 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"0h","Bona","6 µg/m³","0h","Bona","52 µg/m³","0h","Bona","15 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"0h","Bona","66 µg/m³","0h","Bona","32 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"0h","Bona","50 µg/m³","0h","Bona","14 µg/m³","0h","Bona","11 µg/m³","16/01/2019 1:00",1547597102
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"1h","Bona","54 µg/m³",NA,NA,NA,"16/01/2019 2:00",1547600702
"Barcelona - Eixample","Bona","IH","01","08019043",2.1538,41.3853,"0h","--","--","0h","--","--","2h","Bona","21 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Gràcia","Bona","IJ","01","08019044",2.1534,41.3987,"1h","Bona","11 µg/m³","1h","Bona","44 µg/m³","1h","Bona","22 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Ciutadella","Bona","IL","01","08019050",2.1874,41.3864,"1h","Bona","2 µg/m³","1h","Bona","42 µg/m³",NA,NA,NA,"16/01/2019 2:00",1547600702
"Barcelona - Vall Hebron","Bona","IN","01","08019054",2.148,41.4261,"1h","Bona","20 µg/m³","1h","Bona","37 µg/m³","1h","Bona","16 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Palau Reial","Bona","IZ","01","08019057",2.1151,41.3875,"1h","Bona","10 µg/m³","1h","Bona","39 µg/m³","1h","Bona","15 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Poblenou","Bona","I2","01","08019004",2.2045,41.4039,NA,NA,NA,"1h","Bona","59 µg/m³","1h","Bona","32 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Observ Fabra","Bona","OF","01","08019058",2.1239,41.4183,"1h","Bona","47 µg/m³","1h","Bona","16 µg/m³","1h","Bona","11 µg/m³","16/01/2019 2:00",1547600702
"Barcelona - Sants","Bona","ID","01","08019042",2.1331,41.3788,NA,NA,NA,"2h","Bona","49 µg/m³",NA,NA,NA,"16/01/2019 3:00",1547604302
